ending1,ending2,labels,startphrase
Anak laki-laki dalam adat Jawa dinilai sangat berharga.,Anak laki-laki dalam adat Jawa dinilai tidak berharga.,1,Anak laki-laki dalam adat Jawa adalah beban keluarga.
Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.,Peran perempuan dalam adat Jawa sangat berpengaruh.,0,Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih.
Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.,Peran perempuan dalam adat Jawa sangat berpengaruh.,1,Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih.
Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.,Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.,0,Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia.
Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.,Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.,1,Beras miskin adalah simbol kemelaratan yang memilukan bagi sebagian besar warga Indonesia.
Belajar matematika itu menakutkan.,Belajar matematika itu menyenangkan.,0,Belajar matematika itu bagai melihat hantu di rumah sakit angker yang sudah kosong berpuluh-puluh tahun.
Belajar matematika itu menakutkan.,Belajar matematika itu menyenangkan.,1,Belajar matematika itu bagai bertemu dan mengobrol dengan artis idola secara langsung.
Minum kopi saat senja itu rasanya melegakan.,Minum kopi saat senja itu rasanya membawa penyesalan.,0,Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama.
Minum kopi saat senja itu rasanya melegakan.,Minum kopi saat senja itu rasanya membawa penyesalan.,1,Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga.
Sepak bola adalah hal yang serius bagi masyarakat Indonesia.,Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.,0,Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian.
Sepak bola adalah hal yang serius bagi masyarakat Indonesia.,Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.,1,Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja.
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.",0,"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah."
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.",1,"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang."
Menuntut ilmu itu adalah hal yang melelahkan.,Menuntut ilmu itu adalah menyenangkan.,0,Menuntut ilmu itu ibarat pendakian panjang yang melelahkan.
Menuntut ilmu itu adalah hal yang melelahkan.,Menuntut ilmu itu adalah menyenangkan.,1,Menuntut ilmu itu ibarat jalan-jalan santai di pagi hari.
Pegunungan berjajar dengan rapi.,Pegunungan berjajar dengan semrawut.,0,Pegunungan berjajar seperti pasukan paskibraka.
Pegunungan berjajar dengan rapi.,Pegunungan berjajar dengan semrawut.,1,Pegunungan berjajar seperti angkot mengetem sembarangan di bahu jalanan Jakarta.
Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.,0,Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan.
Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.,1,Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara.
Warna baju lebaran keluargaku di tahun ini adalah hijau muda.,Warna baju lebaran keluargaku di tahun ini adalah hijau tua.,0,Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti pada kulit telur bebek.
Warna baju lebaran keluargaku di tahun ini adalah hijau muda.,Warna baju lebaran keluargaku di tahun ini adalah hijau tua.,1,Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab.
Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.,Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.,0,Kata-katanya saat mewawancarai narasumber seperti silet.
Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.,Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.,1,Kata-katanya saat mewawancarai narasumber seperti gunting kuku.
Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.,"Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.",0,Kepercayaan itu ibarat gelas kaca.
Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.,"Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.",1,Kepercayaan itu ibarat gelas plastik.
Orang tua adalah yang membimbing anak-anaknya pada kebaikan.,Orang tua adalah yang membimbing anak-anaknya pada keburukan.,0,Orang tua adalah malaikat untuk anak-anaknya.
Orang tua adalah yang membimbing anak-anaknya pada kebaikan.,Orang tua adalah yang membimbing anak-anaknya pada keburukan.,1,Orang tua adalah iblis untuk anak-anaknya.
Minum es cendol dawet di siang hari itu sangat menyegarkan.,Minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.,0,Siang hari minum es cendol dawet ibarat meneguk air dari sumber mata air di pegunungan.
Minum es cendol dawet di siang hari itu sangat menyegarkan.,Minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.,1,Siang hari minum es cendol dawet ibarat air yang baru mendidih dari panci.
"Di kampung saya, permainan bulu tangkis itu adalah untuk gengsi.","Di kampung saya, permainan bulu tangkis itu adalah untuk fungsi.",0,"Di kampung saya, main bulu tangkis itu adalah penentu status sosial seseorang di masyarakat."
"Di kampung saya, permainan bulu tangkis itu adalah untuk gengsi.","Di kampung saya, permainan bulu tangkis itu adalah untuk fungsi.",1,"Di kampung saya, main bulu tangkis itu adalah untuk melepas penat dan memyehatkan badan."
Mencuci dengan detergen A membuat mencuci terasa ringan.,Mencuci dengan detergen A membuat mencuci terasa berat.,0,Mencuci dengan detergen A seperti mengusap debu tipis di kaca jendela.
Mencuci dengan detergen A membuat mencuci terasa ringan.,Mencuci dengan detergen A membuat mencuci terasa berat.,1,Mencuci dengan detergen A seperti menggosok ubin berlumut yang sudah puluhan tahun tidak dibersihkan.
Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan awas.,Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan meraba-raba.,0,Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai kelelawar yang bermata tajam.
Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan awas.,Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan meraba-raba.,1,Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai si buta dari gua hantu.
Candi Borobudur jika dilihat dari atas berbentuk seperti kubah.,Candi Borobudur jika dilihat dari atas berbentuk seperti kerucut.,0,Candi Borobudur jika dilihat dari atas bagaikan mangkuk yang terbalik.
Candi Borobudur jika dilihat dari atas berbentuk seperti kubah.,Candi Borobudur jika dilihat dari atas berbentuk seperti kerucut.,1,Candi Borobudur jika dilihat dari atas bagaikan langseng yang terbalik.
Diskusi hari ini membuat berpikir keras.,Diskusi hari ini membuat bersantai.,0,Diskusi hari ini menguras pikiran.
Diskusi hari ini membuat berpikir keras.,Diskusi hari ini membuat bersantai.,1,Diskusi hari ini menenangkan pikiran.
Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas macet.,Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas lancar.,0,Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang tersumbat.
Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas macet.,Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas lancar.,1,Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang mengalir deras.
Malam ini cuaca begitu dingin.,Malam ini cuaca begitu panas.,0,Malam ini cuacanya bagaikan merasuk melalui pori-pori hingga menusuk tulang.
Malam ini cuaca begitu dingin.,Malam ini cuaca begitu panas.,1,Malam ini cuacanya bagaikan berdiam di dalam kelas sekolah negeri yang minim ventilasi dan fasilitas seperti kipas angin.
Skrisi bagi sebagian mahasiswa adalah hal menakutkan yang dihindari.,Skrisi bagi sebagian mahasiswa adalah sesuatu yang harus dihadapi agar bisa melanjutkan hidup ke level yang lebih tinggi.,0,Skripsi bagi sebagian besar mahasiswa adalah kuntilanak yang membuat mereka kabur menjauhinya.
Skrisi bagi sebagian mahasiswa adalah hal menakutkan yang dihindari.,Skrisi bagi sebagian mahasiswa adalah sesuatu yang harus dihadapi agar bisa melanjutkan hidup ke level yang lebih tinggi.,1,Skripsi bagi sebagian besar mahasiswa adalah anak tangga yang harus dilalui untuk naik ke anak tangga selanjutnya.
Sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.,Sopan santun itu boleh diabaikan bagi orang Jawa.,0,Sopan santun itu ibarat baju bagi orang Jawa. .
Sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.,Sopan santun itu boleh diabaikan bagi orang Jawa.,1,Sopan santun itu ibarat keset bagi orang Jawa. .
Bekerjalah dengan keras.,Bekerjalah dengan biasa-biasa saja.,0,Bekerjalah seakan resesi 2023 akan benar-benar terjadi.
Bekerjalah dengan keras.,Bekerjalah dengan biasa-biasa saja.,1,Bekerjalah seakan alam dan seisinya masih bisa memenuhi kebutuhanmu.
"Setelah acara aqiqah, kepala keponakanku jadi plontos.","Setelah acara aqiqah, kepala keponakanku jadi jabrik.",0,"Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti lampu taman yang bulat dan licin."
"Setelah acara aqiqah, kepala keponakanku jadi plontos.","Setelah acara aqiqah, kepala keponakanku jadi jabrik.",1,"Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti buah rambutan yang masih muda."
Daniar anak orang kaya. Tingkahnya sombong.,Daniar anak orang kaya. Tingkahnya sederhana.,0,Daniar itu anak orang kaya. Ia bertingkah seolah Roro Jonggrang yang keinginannya harus dipenuhi dalam satu malam.
Daniar anak orang kaya. Tingkahnya sombong.,Daniar anak orang kaya. Tingkahnya sederhana.,1,Daniar itu anak orang kaya. Ia bertingkah seolah Puteri Kadita yang melepaskan kemewahan dan memilih bertapa di laut selatan Jawa.
Suwito adalah orang yang bermartabat.,Suwito adalah orang yang urakan.,0,Suwito bagaikan emas di kubangan air got.
Suwito adalah orang yang bermartabat.,Suwito adalah orang yang urakan.,1,Suwito bagaikan sampah di tumpukan berlian.
Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah cantik.,Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah menyeramkan.,0,"Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan purnama tanggal 15 yang bulat, penuh, dan bercahaya. ."
Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah cantik.,Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah menyeramkan.,1,"Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan awan gelap yang mengungkung angkasa, memerangkap cahaya bintang dan bulan. ."
"Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat ketagihan.","Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat kapok.",0,"Makanan khas Sunda, yaitu seblak kian naik daun karena rasanya yang ibarat pedas-pedas cabai."
"Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat ketagihan.","Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat kapok.",1,"Makanan khas Sunda, yaitu seblak kian naik daun karena rasanya yang ibarat pahit-pahit sambilata."
Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang jahat.,Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang baik hati.,0,Tokoh Rahwana dalam Hikayat Rama Sinta adalah keangkaramurkaan yang membawa kesengsaraan dan perpisahan bagi banyak orang.
Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang jahat.,Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang baik hati.,1,Tokoh Rahwana dalam Hikayat Rama Sinta adalah anugerah abadi yang muncul untuk menghibur hati yang lara.
Kebakaran hutan kemarin sore terjadi dengan sangat berkobar-kobar.,Kebakaran hutan kemarin sore terjadi dengan sangat redup.,0,Kebakaran hutan kemarin sore bagai amukan Banaspati yang mengibaskan lidah panjangnya ke segala penjuru.
Kebakaran hutan kemarin sore terjadi dengan sangat berkobar-kobar.,Kebakaran hutan kemarin sore terjadi dengan sangat redup.,1,Kebakaran hutan kemarin sore bagai nyala lampu minyak yang sumbunya hampir habis terbakar.
Ia sabar dan ikhlas menghadapi hujatan yang penuh penghinaan.,Ia sabar dan ikhlas menghadapi hujatan yang penuh hikmah.,0,Hujatan demi hujatan yang bagaikan lemparan air comberan busuk di wajahnya ia lalui dengan sabar dan ikhlas.
Ia sabar dan ikhlas menghadapi hujatan yang penuh penghinaan.,Ia sabar dan ikhlas menghadapi hujatan yang penuh hikmah.,1,Hujatan demi hujatan yang bagaikan tetesan embun pagi di wajahnya ia lalui dengan sabar dan ikhlas.
"Bagi orang zaman dahulu, bersekolah itu penuh perjuangan.","Bagi orang zaman dahulu, bersekolah itu bersantai-santai saja.",0,"Bagi orang zaman dahulu, bersekolah itu ibarat walau harus dilakukan sambil berjalanan merangkak, selama mata masih membuka, mereka akan tetap berusaha untuk berangkat."
"Bagi orang zaman dahulu, bersekolah itu penuh perjuangan.","Bagi orang zaman dahulu, bersekolah itu bersantai-santai saja.",1,"Bagi orang zaman dahulu, bersekolah itu ibarat juragan kontrakan 20 pintu yang tinggal ongkang-ongkang kaki menunggu uang sewa."
Program Bantuan Langsung Tunai dari pemerintah ini dianggap percuma.,Program Bantuan Langsung Tunai dari pemerintah ini dianggap berguna.,0,Program pemerintah Bantuan Langsung Tunai itu ibarat memberi ikan kepada rakyat.
Program Bantuan Langsung Tunai dari pemerintah ini dianggap percuma.,Program Bantuan Langsung Tunai dari pemerintah ini dianggap berguna.,1,Program pemerintah Bantuan Langsung Tunai itu ibarat memberi kail kepada rakyat.
Perpisahan adalah hal yang menyakitkan.,Perpisahan adalah hal yang menyenangkan.,0,Perpisahan adalah luka dalam yang terus membekas dalam ingatan.
Perpisahan adalah hal yang menyakitkan.,Perpisahan adalah hal yang menyenangkan.,1,Perpisahan adalah tegukan air dingin di siang hari yang kerontang.
Rezeki setelah menikah itu melimpah.,Rezeki setelah menikah itu berkekurangan.,0,Rezeki setelah menikah itu bagaikan hujan deras yang jatuh ke bumi dan mengalir sampai jauh ke sungai-sungai.
Rezeki setelah menikah itu melimpah.,Rezeki setelah menikah itu berkekurangan.,1,Rezeki setelah menikah itu bagaikan musim paceklik dan kemarau yang melanda desa.
Pandemi Covid-19 membuat gaya hidup masyarakat kekurangan.,Pandemi Covid-19 membuat gaya hidup masyarakat stabil.,0,Pandemi Covid-19 membuat gaya hidup masyarakat bagai besar pasak daripada tiang.
Pandemi Covid-19 membuat gaya hidup masyarakat kekurangan.,Pandemi Covid-19 membuat gaya hidup masyarakat stabil.,1,Pandemi Covid-19 membuat gaya hidup masyarakat bagai timbangan yang bergerak sejajar.
Kriteria tulisan untuk bisa diterima koran nasional itu sangat sulit.,Kriteria tulisan untuk bisa diterima koran nasional itu sangat mudah.,0,Kriteria tulisan yang diterima di koran nasional itu bagaikan menemukan huruf N di bungkus permen Yosan.
Kriteria tulisan untuk bisa diterima koran nasional itu sangat sulit.,Kriteria tulisan untuk bisa diterima koran nasional itu sangat mudah.,1,Kriteria tulisan yang diterima di koran nasional itu bagaikan menemukan air di lautan.
"Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu sangatlah mustahil.","Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu sangatlah mungkin.",0,"Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu bagaikan menunggu hujan emas."
"Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu sangatlah mustahil.","Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu sangatlah mungkin.",1,"Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu bagaikan menunggu hujan saat langit sedang mendung."
Melahirkan itu sangat sakit.,Melahirkan itu biasa saja.,0,Melahirkan itu ibarat tulang belulang di dalam tubuh dipatahkan secara bersamaan.
Melahirkan itu sangat sakit.,Melahirkan itu biasa saja.,1,Melahirkan itu ibarat bersin sampai keluar ingus.
Cita-cita itu harus dirawat.,Cita-cita itu dibiarkan begitu saja.,0,Cita-cita itu bagaikan benang yang harus dipintal untuk menjadikannya sebagai lembaran-lembaran kain.
Cita-cita itu harus dirawat.,Cita-cita itu dibiarkan begitu saja.,1,Cita-cita itu bagaikan asap yang dibiarkan hilang dengan sendirinya.
Keluarga itu memberikan kenyamanan.,Keluarga itu memberikan kerunyaman.,0,"Keluarga adalah rumah tempat kita kembali saat lelah selepas bekerja, penat selepas belajar di sekolah, lelah setelah bermain di luar, dan berlindung saat sedang tertimpa musibah."
Keluarga itu memberikan kenyamanan.,Keluarga itu memberikan kerunyaman.,1,Keluarga adalah neraka yang tidak ingin ditinggali sedetik pun.
"Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya tinggi.","Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya rendah.",0,"Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya meroket sampai puncak Gunung Jayawijaya."
"Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya tinggi.","Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya rendah.",1,"Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya jongkok."
"Bukan bermaksud menghakimi, tapi dia berbicara seolah paling benar.","Bukan bermaksud menghakimi, tapi dia berbicara seolah lemah lembut.",0,"Bukan bermaksud menghakimi, tapi dia berbicara seolah hanya dia yang paham bahwa 1+1=2."
"Bukan bermaksud menghakimi, tapi dia berbicara seolah paling benar.","Bukan bermaksud menghakimi, tapi dia berbicara seolah lemah lembut.",1,"Bukan bermaksud menghakimi, tapi dia berbicara seolah putri keraton yang luhur budi pekertinya."
Sastra adalah karya yang menyenangkan.,Sastra adalah karya yang memuakkan.,0,Sastra adalah suguhan bagi jiwa-jiwa yang ingin sejenak kabur dari realitas.
Sastra adalah karya yang menyenangkan.,Sastra adalah karya yang memuakkan.,1,Sastra adalah debat panas antara calon pemimpin saat kampanye.
Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dipersulit.,Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dimudahkan.,0,Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit bagaikan bertarung dengan harimau di hutan belantara.
Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dipersulit.,Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dimudahkan.,1,Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit bagaikan membalikkan telapak tangan.
Berbelanja bagi sebagian besar perempuan itu seperti menyenangkan.,Berbelanja bagi sebagian besar perempuan itu seperti mengerikan.,0,Berbelanja bagi sebagian besar perempuan itu seperti masuk surga dengan segala hal yang indah-indah di sekelilingnya.
Berbelanja bagi sebagian besar perempuan itu seperti menyenangkan.,Berbelanja bagi sebagian besar perempuan itu seperti mengerikan.,1,Berbelanja bagi sebagian besar perempuan itu seperti masuk neraka dengan bara api yang berkobar menakutkan.
Tujuan hidup itu harus ditentukan.,Tujuan hidup itu asal.,0,Tujuan hidup itu bagaikan memilih pisau yang tepat untuk memotong bahan masakan yang mau diolah.
Tujuan hidup itu harus ditentukan.,Tujuan hidup itu asal.,1,Tujuan hidup itu bagaikan menciduk air di kolam.
Matahari hari ini sangat panas.,Matahari hari ini redup.,0,Matahari hari ini seolah hanya sejengkal dari atas ubun-ubun kepala.
Matahari hari ini sangat panas.,Matahari hari ini redup.,1,Matahari hari ini seolah hidup segan mati tak mau.
"Ibarat pengayom masyarakat, itulah pemerintah kita.","Ibarat pembuat onar, itulah pemerintah kita.",0,"Ibarat payung yang rela basah demi melindungi orang di bawahnya, itulah pemerintah kita."
"Ibarat pengayom masyarakat, itulah pemerintah kita.","Ibarat pembuat onar, itulah pemerintah kita.",1,"Ibarat pembuang sampah di sungai, itulah pemerintah kita."
"Semakin dewasa, sosial media menjadi tidak penting.","Semakin dewasa, sosial media menjadi berharga.",0,"Semakin dewasa, sosial media seperti daun yang jatuh di halaman."
"Semakin dewasa, sosial media menjadi tidak penting.","Semakin dewasa, sosial media menjadi berharga.",1,"Semakin dewasa, sosial media seperti lembar uang 50 ribuan yang ditemukan di pinggir jalan."
Mertua dan menantu di Indonesia itu kontradiktif.,Mertua dan menantu di Indonesia itu harmonis.,0,Mertua dan menantu di Indonesia itu bagaikan cerita rakyat Bawang Merah & Bawang Putih.
Mertua dan menantu di Indonesia itu kontradiktif.,Mertua dan menantu di Indonesia itu harmonis.,1,Mertua dan menantu di Indonesia itu bagaikan Jembatan Suramadu yang menghubungkan Pulau Madura dengan Pulau Jawa bagian timur.
Bahagia itu bersifat material.,Bahagia itu bersifat nonmaterial.,0,Bahagia itu adalah ketika kita dapat uang kaget 100 Milyar Rupiah tanpa harus dipotong pajak.
Bahagia itu bersifat material.,Bahagia itu bersifat nonmaterial.,1,Bahagia itu adalah berkumpul bersama keluarga tersayang.
Pembawaan suami saya dingin.,Pembawaan suami saya hangat.,0,Suami saya seperti air kendi.
Pembawaan suami saya dingin.,Pembawaan suami saya hangat.,1,Suami saya seperti suhu ruangan saat siang hari di musim kemarau.
Kekayaannya sangat melimpah.,Kekayaannya sangat kurang.,0,Kekayaannya bisa digunakan untuk melunasi hutang negara dan bahkan masih ada kembaliannya.
Kekayaannya sangat melimpah.,Kekayaannya sangat kurang.,1,Kekayaannya tidak cukup untuk memberi makan dirinya sendiri.
Nilai tukar rupiah dibanding dolar lemah.,Nilai tukar rupiah dibanding dolar kuat.,0,Nilau tukar rupiah di banding dolar ibarat Bujang Bungkuk yang tidak percaya diri.
Nilai tukar rupiah dibanding dolar lemah.,Nilai tukar rupiah dibanding dolar kuat.,1,Nilau tukar rupiah di banding dolar ibarat kesaktian Angling Darma melawan Nyi Pelet.
"Seusai persidangan itu selesai, terdakwa bersikap meminta maaf.","Seusai persidangan itu selesai, terdakwa bersikap pongah.",0,"Seusai persidangan itu selesai, terdakwa bersikap seolah baru turun dari masjid di hari raya Idul Fitri."
"Seusai persidangan itu selesai, terdakwa bersikap meminta maaf.","Seusai persidangan itu selesai, terdakwa bersikap pongah.",1,"Seusai persidangan itu selesai, terdakwa bersikap seolah keluar dari mobil mewah dengan wajah mendongak."
Cara berpikirmu buruk.,Cara berpikirmu baik.,0,Cara berpikirmu seperti tidak pernah mengenyam bangku sekolah.
Cara berpikirmu buruk.,Cara berpikirmu baik.,1,Cara berpikirmu seperti lulusan sarjana hebat.
Sikap serakah itu membuat selalu merasa kurang.,Sikap serakah itu membuat cukup.,0,Sikap serakah itu ibarat meredakan haus dengan minum air lautan.
Sikap serakah itu membuat selalu merasa kurang.,Sikap serakah itu membuat cukup.,1,Sikap serakah itu ibarat menghentikan makan saat perut sudah kenyang.
Perguruan tinggi itu tempat untuk menempa diri.,Perguruan tinggi itu tempat untuk relaksasi.,0,Perguruan tinggi itu ibarat padepokan untuk melatih mahasiswa untuk lebih peka dengan situasi sekitar dan kritis dalam menyajikan sebuah solusi.
Perguruan tinggi itu tempat untuk menempa diri.,Perguruan tinggi itu tempat untuk relaksasi.,1,Perguruan tinggi itu ibarat villa di pegunungan untuk bersantai saat libur tiba.
"Kulit wanita Sunda itu halus, putih, dan kenyal.","Kulit wanita Sunda itu pori-porinya besar, kasar, dan tidak mulus.",0,Wanita Sunda itu kulitnya seperti kulit kue nagasari.
"Kulit wanita Sunda itu halus, putih, dan kenyal.","Kulit wanita Sunda itu pori-porinya besar, kasar, dan tidak mulus.",1,Wanita Sunda itu kulitnya seperti kulit jeruk.
Merupakan informasi publik bahwa rekrutmen angkatan bersenjata harus melalui cara yang luar biasa.,Merupakan rahasia bahwa rekrutmen angkatan bersenjata harus melalui cara yang luar biasa.,0,Sudah menjadi semacam rahasia umum bahwa rekrutmen angkatan bersenjata harus melalui cara yang luar biasa.
Merupakan informasi publik bahwa rekrutmen angkatan bersenjata harus melalui cara yang luar biasa.,Merupakan rahasia bahwa rekrutmen angkatan bersenjata harus melalui cara yang luar biasa.,1,Sudah menjadi semacam dokumen rahasia bahwa rekrutmen angkatan bersenjata harus melalui cara yang luar biasa.
Media masa seharusnya membuat gaduh saat menayangkan kontennya.,Media masa seharusnya mengklarifikasi saat menayangkan kontennya.,0,Media masa seharusnya memancing di air keruh saat menayangkan kontennya.
Media masa seharusnya membuat gaduh saat menayangkan kontennya.,Media masa seharusnya mengklarifikasi saat menayangkan kontennya.,1,Media masa seharusnya menjernihkan situasi saat menayangkan kontennya.
Dunia nampaknya seperti sudah payah.,Dunia nampaknya seperti masih segar bugar.,0,Dunia nampaknya seperti wanita renta yang terengah-engah memikul kayi bakar di punggungnya sambil menuruni bukit yang licin.
Dunia nampaknya seperti sudah payah.,Dunia nampaknya seperti masih segar bugar.,1,Dunia nampaknya seperti wanita muda yang tengah berseri-beri menyambut hari pertamanya bekerja.
Indonesia itu menarik wisatawan dari luar negeri.,Indonesia itu menolak wisatawan dari luar negeri.,0,Indonesia itu ibarat magnet bagi wisatawan mancanegara.
Indonesia itu menarik wisatawan dari luar negeri.,Indonesia itu menolak wisatawan dari luar negeri.,1,Indonesia itu ibarat perisai bagi wisatawan mancanegara.
"Walaupun harus dengan kerja keras, aku akan meraih semuanya.","pasrah saja kepada takdir, aku akan meraih semuanya.",0,"Walaupun kaki jadi kepala, kepala jadi kaki, semua pasti akan aku dapatkan."
"Walaupun harus dengan kerja keras, aku akan meraih semuanya.","pasrah saja kepada takdir, aku akan meraih semuanya.",1,"mengalir saja seperti air, semua pasti akan aku dapatkan."
Aku percaya bahwa hidup itu adalah kebaikan harus dibalas dengan kejahatan.,Aku percaya bahwa hidup itu adalah selalu berbuat baiklah agar kamu menerima karma baiknya.,0,Aku percaya bahwa hidup itu adalah air susu yang harus dibalas dengan air tuba.
Aku percaya bahwa hidup itu adalah kebaikan harus dibalas dengan kejahatan.,Aku percaya bahwa hidup itu adalah selalu berbuat baiklah agar kamu menerima karma baiknya.,1,Aku percaya bahwa hidup itu adalah siapa yang menanam akan menuai.
"Kualitas diri seseorang itu semakin sukses, semakin bersahaja.",Kualitas diri seseorang itu setelah sukses menjadi sombong.,0,Kualitas diri seseorang itu ibarat padi yang semakin berisi semakin merunduk.
