ending1,ending2,startphrase,labels
Dadi anak pak lurah uripe kepenak,Dadi anak pak lurah uripe sara,Dadi anak pak lurah uripe kaya kalungan mas,0
Dadi anak pak lurah uripe kepenak,Dadi anak pak lurah uripe sara,Dadi anak pak lurah uripe kaya kalungan wesi,1
Isuk iki Jogja hawane panas,Isuk iki Jogja hawane adem,Isuk iki Jogja hawane kaya banyu umup,0
Isuk iki Jogja hawane panas,Isuk iki Jogja hawane adem,Isuk iki Jogja hawane kaya es ning gunung,1
Bapak guru ngewenehi tugas dhadhakan,Bapak guru ngewenehi tugas mipil,Bapak guru ngewenehi tugas kaya arep nggawe candi,0
Bapak guru ngewenehi tugas dhadhakan,Bapak guru ngewenehi tugas mipil,Bapak guru ngewenehi tugas kaya nandur pari,1
Menungso kuwi umur e dawa,Menungso kuwi umur e cendhek,Menungso kuwi umur e umpama arca sewu tahun,0
Menungso kuwi umur e dawa,Menungso kuwi umur e cendhek,Menungso kuwi umur e umpama capung sedina,1
Mlayune atlet kuwi alon,Mlayune atlet kuwi banter,Mlayune atlet kuwi kaya keong mlayu,0
Mlayune atlet kuwi alon,Mlayune atlet kuwi banter,Mlayune atlet kuwi kaya macan mlaku,1
Adhiku pengen duwe omah sing gedhe,Adhiku pengen duwe omah sing cilik,Adhiku pengen duwe omah sing kaya alas wit sewu,0
Adhiku pengen duwe omah sing gedhe,Adhiku pengen duwe omah sing cilik,Adhiku pengen duwe omah sing kaya pagupon dara,1
Gani kesohor amarga swarane banter,Gani kesohor amarga swarane alon,Gani kesohor amarga swarane kaya pithik kluruk,0
Gani kesohor amarga swarane banter,Gani kesohor amarga swarane alon,Gani kesohor amarga swarane kaya kucing turu,1
Drijine Marni rupane lancip,Drijine Marni rupane ora lancip,Drijine Marni rupane kaya mucuk ri,0
Drijine Marni rupane lancip,Drijine Marni rupane ora lancip,Drijine Marni rupane kaya mucuk pring,1
"Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing angel kawujud","Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing gampang kawujud","Jare Dinda, kalebu ing jurusan teknik kuwi kaya cecak nguntal boyo",0
"Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing angel kawujud","Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing gampang kawujud","Jare Dinda, kalebu ing jurusan teknik kuwi kaya ndulang mas ning tambak",1
"Senajan sugih, Pak Tomo kerjane sregep","Senajan sugih, Pak Tomo kerjane males","Senajan sugih, Pak Tomo kerjane kaya diuber utang",0
"Senajan sugih, Pak Tomo kerjane sregep","Senajan sugih, Pak Tomo kerjane males","Senajan sugih, Pak Tomo kerjane kaya duwe inten sekarung",1
"Nek ketemu tonggo, bocah kuwi pancen kemaki","Nek ketemu tonggo, bocah kuwi pancen sumeh","Nek ketemu tonggo, bocah kuwi pancen kaya ngemut inten",0
"Nek ketemu tonggo, bocah kuwi pancen kemaki","Nek ketemu tonggo, bocah kuwi pancen sumeh","Nek ketemu tonggo, bocah kuwi pancen kaya temu dulur",1
Sinden iku pancen swarane apik,Sinden iku pancen swarane elek,Penyanyi iku pancen swarane kaya tembang sinom,0
Sinden iku pancen swarane apik,Sinden iku pancen swarane elek,Penyanyi iku pancen swarane kaya kumbang nyinom,1
Banyu ing Surabaya bening,Banyu ing Surabaya buthek,Banyu ing Surabaya umpama embun ning ndhuwur kaca,0
Banyu ing Surabaya bening,Banyu ing Surabaya buthek,Banyu ing Surabaya umpama embun kacampur awu,1
Hendra kuwi omongane ngapusi,Hendra kuwi omongane temenan,Hendra kuwi omongane kaya abang-abang lambe,0
Hendra kuwi omongane ngapusi,Hendra kuwi omongane temenan,Hendra kuwi omongane kaya kacekel tangan sepisan,1
Masakane Bu Mardi rasane enak,Masakane Bu Mardi rasane ora enak,Masakane Bu Mardi rasane kaya dhaharan sultan,0
Masakane Bu Mardi rasane enak,Masakane Bu Mardi rasane ora enak,Masakane Bu Mardi rasane kaya panganan wong lara,1
Saben dina toko kuwi rame,Saben dina toko kuwi sepi,Saben dina toko kuwi kaya gula dirubung semut,0
Saben dina toko kuwi rame,Saben dina toko kuwi sepi,Saben dina toko kuwi kaya kuburan wayah bengi,1
"Ning panggung, penari srimpi kae obahe anggun","Ning panggung, penari srimpi kae obahe kaku","Ning panggung, penari srimpi kae obahe umpama kembang kesenggol angin",0
"Ning panggung, penari srimpi kae obahe anggun","Ning panggung, penari srimpi kae obahe kaku","Ning panggung, penari srimpi kae obahe umpama kayu mati",1
"Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kandhel","Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise arang-arang","Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kaya wulan tumuju tanggal sepisan",0
"Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kandhel","Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise arang-arang","Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kaya merang sawah",1
Umar bali sekolah mlakune alon-alon,Umar bali sekolah mlakune kesusu,Umar bali sekolah mlakune kaya macan luwe,0
Umar bali sekolah mlakune alon-alon,Umar bali sekolah mlakune kesusu,Umar bali sekolah mlakune kaya macan nguber kidang,1
Lakune bocah kuwi ning keluargane kalem,Lakune bocah kuwi ning keluargane teges,Lakune bocah kuwi ning keluargane umpama kidang kencana ning tengah alas,0
Lakune bocah kuwi ning keluargane kalem,Lakune bocah kuwi ning keluargane teges,Lakune bocah kuwi ning keluargane umpama buta kala ning alengka,1
Mimpi dadi presiden pancen ora mungkin,Mimpi dadi presiden pancen mungkin,Mimpi dadi presiden pancen kaya Petruk arep dadi ratu,0
Mimpi dadi presiden pancen ora mungkin,Mimpi dadi presiden pancen mungkin,Mimpi dadi presiden pancen kaya Semar mbangun kayangan,1
Sinau sejarah ning sekolah marai bosen,Sinau sejarah ning sekolah marai seneng,Sinau sejarah ning sekolah umpama ngenteni babon ngendhok,0
Sinau sejarah ning sekolah marai bosen,Sinau sejarah ning sekolah marai seneng,Sinau sejarah ning sekolah umpama dolanan ning pasar malem,1
Kerja ning kantor pemerintah akeh tantangan,Kerja ning kantor pemerintah ora ono tantangan,Kerja ning kantor pemerintah kaya numpak gethek ning Kali Brantas,0
Kerja ning kantor pemerintah akeh tantangan,Kerja ning kantor pemerintah ora ono tantangan,Kerja ning kantor pemerintah kaya numpak gethek ning Bengawan Solo,1
Ning TV saiki akeh pejabat sing ora duwe wibawa,Ning TV saiki akeh pejabat sing duwe wibawa,Ning TV saiki akeh pejabat sing umpama duwe ajining godhong garing,0
Ning TV saiki akeh pejabat sing ora duwe wibawa,Ning TV saiki akeh pejabat sing duwe wibawa,Ning TV saiki akeh pejabat sing umpama lelaku ratu adil,1
"Nalika zaman semono, rega beras larang","Nalika zaman semono, rega beras murah","Nalika zaman semono, rega beras kaya tuku emas kang disepuh",0
"Nalika zaman semono, rega beras larang","Nalika zaman semono, rega beras murah","Nalika zaman semono, rega beras kaya tuku kerikil",1
"Sejatine, urip ning mancanegara sia-sia","Sejatine, urip ning mancanegara nguntungake","Sejatine, urip ning mancanegara kaya mecahke kendhil isi banyu",0
"Sejatine, urip ning mancanegara sia-sia","Sejatine, urip ning mancanegara nguntungake","Sejatine, urip ning mancanegara kaya ngisi banyu ning kendhil",1
Carita kae marai ati rasa duka,Carita kae marai ati rasa bungah,Carita kae marai ati rasa kaya dicacah gaman,0
Carita kae marai ati rasa duka,Carita kae marai ati rasa bungah,Carita kae marai ati rasa kaya disiram banyu kembang,1
Urip ning jobo kutha san saya tinemu apes,Urip ning jobo kutha san saya nyenengake,Urip ning jobo kutha san saya umpama udan watu geni,0
Urip ning jobo kutha san saya tinemu apes,Urip ning jobo kutha san saya nyenengake,Urip ning jobo kutha san saya umpama udan banyu,1
Mimpi sing mau bengi apik,Mimpi sing mau bengi elek,Mimpi sing mau bengi kaya kembang turu,0
Mimpi sing mau bengi apik,Mimpi sing mau bengi elek,Mimpi sing mau bengi kaya diuber demit,1
Angin ning pantura pancen banter,Angin ning pantura pancen sumilir,Angin ning pantura pancen padha karo banteng playon,0
Angin ning pantura pancen banter,Angin ning pantura pancen sumilir,Angin ning pantura pancen padha karo umbul-umbul keterak bayu,1
"Ning kuthaku, wong kang mbangun pabrik akeh","Ning kuthaku, wong kang mbangun pabrik sitik","Ning kuthaku, wong kang mbangun pabrik kaya jamur wayah udan",0
"Ning kuthaku, wong kang mbangun pabrik akeh","Ning kuthaku, wong kang mbangun pabrik sitik","Ning kuthaku, wong kang mbangun pabrik kaya ngitung driji tangan siji",1
Ngelakoni kerja ning pabrik kuwi sia-sia,Ngelakoni kerja ning pabrik kuwi ngasilake,Ngelakoni kerja ning pabrik kuwi umpama nguyahi segara,0
Ngelakoni kerja ning pabrik kuwi sia-sia,Ngelakoni kerja ning pabrik kuwi ngasilake,Ngelakoni kerja ning pabrik kuwi umpama nandur lombok ning tegalan,1
Dadi anak bontot ning keluarga iki abot,Dadi anak bontot ning keluarga iki enteng,Dadi anak bontot ning keluarga iki padha kaya nggendong watu sak gunung,0
Dadi anak bontot ning keluarga iki abot,Dadi anak bontot ning keluarga iki enteng,Dadi anak bontot ning keluarga iki padha kaya nggendong kapas sak genggem,1
Ngelakoni urip dadi santri ana wae ceritane senajan nentremake,Ngelakoni urip dadi santri ana wae ceritane senajan gawe usrek,Ngelakoni urip dadi santri ana wae ceritane senajan umpama surya wayah sore,0
Ngelakoni urip dadi santri ana wae ceritane senajan nentremake,Ngelakoni urip dadi santri ana wae ceritane senajan gawe usrek,Ngelakoni urip dadi santri ana wae ceritane senajan umpama kesasar ning alas roban,1
Bapake yen kerja sampe pol-polan,Bapake yen kerja sampe males-malesan,Bapake yen kerja sampe kaya adol tangan karo sikil,0
Bapake yen kerja sampe pol-polan,Bapake yen kerja sampe males-malesan,Bapake yen kerja sampe kaya adol omongan,1
Nuruti dhawuh e wong tuwa dadi ragu-ragu,Nuruti dhawuh e wong tuwa dadi kukuh,Nuruti dhawuhe wong tuwa dadi umpama nggenggem bara geni,0
Nuruti dhawuh e wong tuwa dadi ragu-ragu,Nuruti dhawuh e wong tuwa dadi kukuh,Nuruti dhawuhe wong tuwa dadi umpama nggenggem tembaga wesi,1
Tenangane wong kuwi kuat banget,Tenangane wong kuwi lemes banget,Tenangane wong kuwi kaya ngangkat kebo limo,0
Tenangane wong kuwi kuat banget,Tenangane wong kuwi lemes banget,Tenangane wong kuwi kaya kambrukan wulu,1
Enteke dhuwit gajiku boros,Enteke dhuwit gajiku irit,Enteke dhuwit gajiku umpama ngetutke miline banyu,0
Enteke dhuwit gajiku boros,Enteke dhuwit gajiku irit,Enteke dhuwit gajiku umpama dipendhem nggo mangsa ketelu,1
Urip ning perkampungan Jakarta guyub,Urip ning perkampungan Jakarta akeh gelut,Urip ning perkampungan Jakarta kaya tinemu sadulur tunggal getih,0
Urip ning perkampungan Jakarta guyub,Urip ning perkampungan Jakarta akeh gelut,Urip ning perkampungan Jakarta kaya ngorbanake getih,1
"Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe gedhe","Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe cilik","Nek gawe pegawe kantor iki, keputusan mau isuk kaya gong tinabuh",0
"Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe gedhe","Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe cilik","Nek gawe pegawe kantor iki, keputusan mau isuk kaya nabuh kenong",1
Keputusan sing digawe Bu Dwi wis teguh,Keputusan sing digawe Bu Dwi wis ora teguh,Keputusan sing digawe Bu Dwi wis kaya kayu jati ngadeg-jejeg,0
Keputusan sing digawe Bu Dwi wis teguh,Keputusan sing digawe Bu Dwi wis ora teguh,Keputusan sing digawe Bu Dwi wis kaya wedi ning pinggir segara,1
Lia lan adhine rukun,Lia lan adhine musuhan,Lia lan adhine kaya kopi dibanjur susu,0
Lia lan adhine rukun,Lia lan adhine musuhan,Lia lan adhine kaya lenga karo banyu,1
Didikan keluargane disiplin,Didikan keluargane sekarepe dewe,Didikan keluargane umpama prajurit Jepang arep tempur,0
Didikan keluargane disiplin,Didikan keluargane sekarepe dewe,Didikan keluargane umpama cul-culane kuthuk,1
Bener jare wong kene yen Bu Lurah tumindake nglarani ati,Bener jare wong kene yen Bu Lurah tumindake nyenengke ati,Bener jare wong kene yen Bu Lurah tumindake kaya pucuk kertas nyeset driji,0
Bener jare wong kene yen Bu Lurah tumindake nglarani ati,Bener jare wong kene yen Bu Lurah tumindake nyenengke ati,Bener jare wong kene yen Bu Lurah tumindake kaya nyiram madu,1
Doni karo Yanti pancen cocok sesandhingan,Doni karo Yanti pancen ora cocok sesandhingan,Doni karo Yanti pancen kaya Rama Sinta ing pewayangan,0
Doni karo Yanti pancen cocok sesandhingan,Doni karo Yanti pancen ora cocok sesandhingan,Doni karo Yanti pancen kaya Rahwana Sinta ing pewayangan,1
Nyawang esemmu rasane adem,Nyawang esemmu rasane panas,Nyawang esemmu rasane kaya angin semilir,0
Nyawang esemmu rasane adem,Nyawang esemmu rasane panas,Nyawang esemmu rasane kaya panase neraka,1
Sepur iku suarane mbrebegi,Sepur iku suarane sepi,Sepur iku suarane kaya manuk pentet,0
Sepur iku suarane mbrebegi,Sepur iku suarane sepi,Sepur iku suarane kaya manuk dares,1
Awakmu iku atos,Awakmu iku empuk,Awakmu iku kaya wesi,0
Awakmu iku atos,Awakmu iku empuk,Awakmu iku kaya kapuk,1
Kucing kuwi obahe cepet,Kucing kuwi obahe alon,Kucing kuwi obah kaya sepur,0
Kucing kuwi obahe cepet,Kucing kuwi obahe alon,Kucing kuwi obah kaya becak,1
Sinden dangdut suarane merdu,Sinden dangdut suarane elek,Sinden dangdut suarane kaya manuk kutilang,0
Sinden dangdut suarane merdu,Sinden dangdut suarane elek,Sinden dangdut suarane kaya bebek,1
Kelekmu mambu bosok,Kelekmu mambu wangi,Kelekmu mambu kaya telek pithik,0
Kelekmu mambu bosok,Kelekmu mambu wangi,Kelekmu mambu kaya kembang melati,1
Manuk dara mabure cepet,Manuk dara mabure alon,Manuk dara mabur kaya montor mabur,0
Manuk dara mabure cepet,Manuk dara mabure alon,Manuk dara mabur kaya keong,1
Ngenteni awakmu rasane suwi,Ngenteni awakmu rasane cepet,Ngenteni awakmu teka rasane kaya sewu tahun,0
Ngenteni awakmu rasane suwi,Ngenteni awakmu rasane cepet,Ngenteni awakmu teka rasane kaya limang detik,1
Gawe kowe percaya iku gampang,Gawe kowe percaya iku angel,Gawe kowe percaya iku kaya malik dlamaan tangan,0
Gawe kowe percaya iku gampang,Gawe kowe percaya iku angel,Gawe kowe percaya iku kaya munggah gunung lawu,1
Sega ing warung iku rasane atos,Sega ing warung iku rasane pulen,Sega warung iku rasane kaya mangan watu,0
Sega ing warung iku rasane atos,Sega ing warung iku rasane pulen,Sega warung iku rasane kaya mangan bubur,1
Berita iku ditampa hal sing angel,Berita iku ditampa hal sing gampang,Berita iku ditampa kaya ngeleg obat,0
Berita iku ditampa hal sing angel,Berita iku ditampa hal sing gampang,Berita iku ditampa kaya ngeleg idu,1
Wong iku leh mlaku cepet banget,Wong iku leh mlaku alon banget,Wong iku leh mlaku kaya numpak montor mabur,0
Wong iku leh mlaku cepet banget,Wong iku leh mlaku alon banget,Wong iku leh mlaku kaya numpak keong,1
Rupane wingi peteng,Rupane wingi ceta,Rupane wingi kaya peteng wayah bengi,0
Rupane wingi peteng,Rupane wingi ceta,Rupane wingi kaya srengenge tengah hari,1
Omongane bu guru landhep,Omongane bu guru alus,Omongane bu guru kaya landhep pedang,0
Omongane bu guru landhep,Omongane bu guru alus,Omongane bu guru kaya kethul karet,1
Wayah esuk hawane adem,Wayah esuk hawane panas,Wayah esuk hawane kaya es,0
Wayah esuk hawane adem,Wayah esuk hawane panas,Wayah esuk hawane kaya geni,1
Banjir sasi wingi duwur banget,Banjir sasi wingi cekak banget,Banjir sasi wingi duwure kaya tugu monas,0
Banjir sasi wingi duwur banget,Banjir sasi wingi cekak banget,Banjir sasi wingi duwure kaya tungkak,1
Omongane iso marai ribut,Omongane iso marai ayem,Omongane isa kaya korek gas,0
Omongane iso marai ribut,Omongane iso marai ayem,Omongane isa kaya banyu adem,1
Tembok omah iku dicet werna peteng,Tembok omah iku dicet werna terang,Temok omah iku dicet werna areng,0
Tembok omah iku dicet werna peteng,Tembok omah iku dicet werna terang,Temok omah iku dicet werna pupur,1
Bantal iki rasane alus,Bantal iki rasane athos,Bantal iki rasane kaya kapuk,0
Bantal iki rasane alus,Bantal iki rasane athos,Bantal iki rasane kaya watu,1
Apel iku rasane asem,Apel iku rasane legi,Apel iku rasane kaya asem,0
Apel iku rasane asem,Apel iku rasane legi,Apel iku rasane kaya tebu,1
Mangsa ngarep wong iku kebak pangarep,Mangsa ngarep wong iku kebak kuciwo,Mangsa ngarep wong iku ibarat padhang esuk,0
Mangsa ngarep wong iku kebak pangarep,Mangsa ngarep wong iku kebak kuciwo,Mangsa ngarep wong iku ibarat mangsa surup,1
Mripatku yen yah mene dinggo ndelok kaya cetha,Mripatku yen yah mene dinggo ndelok kaya kabur,Mripatku yen yah mene dinggo ndelok kaya bening kaca,0
Mripatku yen yah mene dinggo ndelok kaya cetha,Mripatku yen yah mene dinggo ndelok kaya kabur,Mripatku yen yah mene dinggo ndelok kaya buthek banyu,1
Werna wulu kucing iku ireng,Werna wulu kucing iku putih,Werno wulu kucing iku kaya areng,0
Werna wulu kucing iku ireng,Werna wulu kucing iku putih,Werno wulu kucing iku kaya salju,1
Cah loro iku keletan,Cah loro iku pisahan,Cah loro iku kelet kaya tluth,0
Cah loro iku keletan,Cah loro iku pisahan,Cah loro iku pisahan kaya padu,1
Fahmi mangan sega kaya wong keluwen,Fahmi mangan sega kaya wong kewaregen,Fahmi mangan sega kaya ora mangan limang dina,0
Fahmi mangan sega kaya wong keluwen,Fahmi mangan sega kaya wong kewaregen,Fahmi mangan sega kaya kewaregen bubar prasmanan,1
Keluargaku saben dina mangan apa anane,Keluargaku saben dina mangan apa wae ana,Keluargaku saben dina mangan telo,0
Keluargaku saben dina mangan apa anane,Keluargaku saben dina mangan apa wae ana,Keluargaku saben dina mangan iwak,1
Raihan mambune wangi,Raihan mambune bosok,Raihan mambune kaya kembang,0
Raihan mambune wangi,Raihan mambune bosok,Raihan mambune kaya mayit,1
Omahe Jokowi amba banget,Omahe Jokowi sempit banget,Omahe Jokowi ambane kaya laut kidul,0
Omahe Jokowi amba banget,Omahe Jokowi sempit banget,Omahe Jokowi ambane kaya gang tikus,1
Kowe takdongakne dawa umure,Kowe takdongakne cekak umure,Kowe takdongakne kaya penyu laut,0
Kowe takdongakne dawa umure,Kowe takdongakne cekak umure,Kowe takdongakne kaya jengklong,1
Ambune awakmu prengus,Ambune awakmu wangi,Ambune awakmu wes kaya wedhus,0
Ambune awakmu prengus,Ambune awakmu wangi,Ambune awakmu wes kaya kembang melati,1
Tresnaku marang sliramu iku gede,Tresnaku marang sliramu iku cilik,Tresnaku marang sliramu iku kaya gajah,0
Tresnaku marang sliramu iku gede,Tresnaku marang sliramu iku cilik,Tresnaku marang sliramu iku kaya semut,1
Banyu omah iki rasane adem,Banyu omah iki rasane anget,Banyu omah iki rasane kaya banyu es,0
Banyu omah iki rasane adem,Banyu omah iki rasane anget,Banyu omah iki rasane kaya wedhang ronde,1
Nyawang esemme mantan rasane legi,Nyawang esemme mantan rasane pait,Nyawang esemme mantan rasane kaya tebu,0
Nyawang esemme mantan rasane legi,Nyawang esemme mantan rasane pait,Nyawang esemme mantan rasane kaya godhong kates,1
Omah iku kaya mewah,Omah iku kaya murah,Omah iku kaya digawe saka emas,0
Omah iku kaya mewah,Omah iku kaya murah,Omah iku kaya digawe saka kayu,1
Montor iku kuat,Montor iku ringkih,Montor iku digawe seka wesi,0
Montor iku kuat,Montor iku ringkih,Montor iku digawe seka kayu,1
Rasane panganan iki gurih,Rasane panganan iki raono rasane,Rasane panganan iki kaya iwak pithik,0
Rasane panganan iki gurih,Rasane panganan iki raono rasane,Rasane panganan iki kaya tempe godhog,1
Tresnaku marang awakmu amba,Tresnaku marang awakmu sempit,Tresnaku marang awakmu seamba laut biru,0
Tresnaku marang awakmu amba,Tresnaku marang awakmu sempit,Tresnaku marang awakmu sesempit bolongan dom,1
Ngenteni Surya adus iku suwi,Ngenteni Surya adus iku cepet,Ngenteni Surya adus iku kaya satus tahun,0
Ngenteni Surya adus iku suwi,Ngenteni Surya adus iku cepet,Ngenteni Surya adus iku kaya limang menit,1
Febri jajan kaya wong sugih,Febri jajan kaya wong kere,Febri jajan kaya tanggal nom,0
Febri jajan kaya wong sugih,Febri jajan kaya wong kere,Febri jajan kaya tanggal tuwa,1
Jaka urip ing panggonan kang cukup,Jaka urip ing panggonan kan kurang,Jaka urip ing omah tembok,0
Jaka urip ing panggonan kang cukup,Jaka urip ing panggonan kan kurang,Jaka urip ing omah kardus,1
Adi rewel merga keluwen,Adi rewel merga kewaregen,Adi rewel merga wetenge muni,0
Adi rewel merga keluwen,Adi rewel merga kewaregen,Adi rewel merga wetenge wareg,1
Gambar iku apik banget,Gambar iku elek banget,Gambar iku kaya langit kebak bintang,0
Gambar iku apik banget,Gambar iku elek banget,Gambar iku kaya langit kemeluk,1
Wong kaya kowe iku ono akeh,Wong kaya kowe iku langka,Wong kaya kowe iku kaya pasir pantai,0
Wong kaya kowe iku ono akeh,Wong kaya kowe iku langka,Wong kaya kowe iku kaya watu akik,1
Polisi iku sifate kasar,Polisi iku sifate alus,Polisi iku sifate kaya asu galak,0
Polisi iku sifate kasar,Polisi iku sifate alus,Polisi iku sifate kaya anak kucing,1
Raimu taksawang-sawang ayu,Raimu taksawang-sawang medeni,Raimu tak sawang-sawang kaya Luna Maya,0
Raimu taksawang-sawang ayu,Raimu taksawang-sawang medeni,Raimu tak sawang-sawang kaya Mak Lampir,1
Bapak tuku kacang kaya duite akeh,Bapak tuku kacang kaya duite sithik,Bapak tuku kacang kaya dompete kandel,0
Bapak tuku kacang kaya duite akeh,Bapak tuku kacang kaya duite sithik,Bapak tuku kacang kaya dompete tipis,1
Meja kerjane bapak kuwat,Meja kerjane bapak ringkih,Meja kerjane bapak digawe saka kayu jati,0
Meja kerjane bapak kuwat,Meja kerjane bapak ringkih,Meja kerjane bapak digawe saka gedebog gedhang,1
Omahe kancaku mewah,Omahe kancaku pas-pasan,Omahe kancaku kaya keraton,0
Omahe kancaku mewah,Omahe kancaku pas-pasan,Omahe kancaku kaya kos kosan,1
Parkiran omahe paklik amba nemen,Parkiran omahe paklik sempit,Parkiran omahe paklik kaya lapangan bal-balan,0
Parkiran omahe paklik amba nemen,Parkiran omahe paklik sempit,Parkiran omahe paklik kaya teras omah,1
Dina iki aku begja,Dina iki aku apes,Dina iki aku ibarat nemu duit,0
Dina iki aku begja,Dina iki aku apes,Dina iki aku ibarat kebanan,1
Uripe seneng,Uripe sengsara,"Kanggo dheweke, uripe kaya ndeleng pemandangan sing apik",0
Uripe seneng,Uripe sengsara,"Kanggo dheweke, uripe kaya ing bar wesi",1
Dheweke nulungi ibune sing wis tuwa iku abot,Dheweke nulungi ibune sing wis tuwa iku entheng,Dheweke nulungi ibune sing wis tuwa kaya mikul beras sepuluh sak,0
Dheweke nulungi ibune sing wis tuwa iku abot,Dheweke nulungi ibune sing wis tuwa iku entheng,Dheweke nulungi ibune sing wis tuwa kaya nggowo kresek isi krupuk,1
Dheweke yen kerjo cepet,Dheweke yen kerjo alon,Dheweke yen kerjo kaya jaran nalika mlayu,0
Dheweke yen kerjo cepet,Dheweke yen kerjo alon,Dheweke yen kerjo kaya keong nalika mlayu,1
Swarane ngorok banter,Swarane ngorok alon-alon,Nalika turu swarane ngorok kaya knalpot mobil lawas lan lungse,0
Swarane ngorok banter,Swarane ngorok alon-alon,Nalika turu swarane ngorok kaya maling mlaku,1
Ujian uripe enek terus,Ujian uripe jarang-jarang,Ujian uripe wong kuwi ibarat udan deres gak mandek-mandek,0
Ujian uripe enek terus,Ujian uripe jarang-jarang,Ujian uripe wong kuwi ibarat sirah botak jarang rambute,1
Kopere gedhe,Kopere cilik,Ibu nggawa koper gedhene sak omah,0
Kopere gedhe,Kopere cilik,Ibu nggawa koper gedhene sak kotak petelot,1
Mikire dawa,Mikire cendhak,Pikirane kaya rel sepur,0
Mikire dawa,Mikire cendhak,Pikirane kaya slerekane kathok,1
Karir artis iku Munggah,Karir artis iku ndelep,Karir artis iku kaya gabus dilebokake ing banyu,0
Karir artis iku Munggah,Karir artis iku ndelep,Karir artis iku kaya watu dilebokake ing banyu,1
Omahe Mewah,Omahe kumuh,Omahe kaya kraton raja,0
Omahe Mewah,Omahe kumuh,Omahe kaya omah soko karton lan triplek,1
Pendukunge Pak Rangga dadi bupati Akeh,Pendukunge Pak Rangga dadi bupati sitik,Pendukunge Pak Rangga dadi bupati kayata busa ing samodra,0
Pendukunge Pak Rangga dadi bupati Akeh,Pendukunge Pak Rangga dadi bupati sitik,Pendukunge Pak Rangga dadi bupati kayata jamaah sholat subuh ing masjid,1
Manggon ing omah iki Seneng,Manggon ing omah iki nandhang sangsara,Manggon ing omah iki kaya swarga,0
Manggon ing omah iki Seneng,Manggon ing omah iki nandhang sangsara,Manggon ing omah iki kaya neraka,1
Swasana desa iki Ramai,Swasana desa iki Sepi,Swasana desa iki kaya pasar,0
Swasana desa iki Ramai,Swasana desa iki Sepi,Swasana desa iki kaya kuburan,1
Swarane masku nek nyanyi merdu,Swarane masku nek nyanyi cempreng,Swarane masku nek nyanyi koyo swarane Didi kempot,0
Swarane masku nek nyanyi merdu,Swarane masku nek nyanyi cempreng,Swarane masku nek nyanyi koyo tutup panci njeblok,1
Kulite wong wedok iku Halus,Kulite wong wedok iku kasar,Kulite wong wedok iku kaya kulit bayi,0
Kulite wong wedok iku Halus,Kulite wong wedok iku kasar,Kulite wong wedok iku kaya kulit salak,1
Dina iki hawa ing njaba krasa adem,Dina iki hawa ing njaba krasa panas,Dina iki hawa ing njaba krasa kaya ing kutub lor,0
Dina iki hawa ing njaba krasa adem,Dina iki hawa ing njaba krasa panas,Dina iki hawa ing njaba krasa kaya ana ing gurun wedi,1
Semangate nandhang pacoban urip iku Wani,Semangate nandhang pacoban urip iku Wedi,Semangate nandhang pacoban urip iku kaya raja singa ing tengah alas,0
Semangate nandhang pacoban urip iku Wani,Semangate nandhang pacoban urip iku Wedi,Semangate nandhang pacoban urip iku kaya kura-kura sing kerep ndhelik ing cangkang,1
Nalika ngrampungake masalah dheweke Ora Tenang,"Nalika ngrampungake masalah dheweke kuwat, tenang kebak kawicaksanan",Nalika ngrampungake masalah dheweke kaya ombak ing tengah samodra,0
Nalika ngrampungake masalah dheweke Ora Tenang,"Nalika ngrampungake masalah dheweke kuwat, tenang kebak kawicaksanan",Nalika ngrampungake masalah dheweke kaya gunung,1
Ponakanku yen sekolah aktif,Ponakanku yen sekolah pasif menengae,Ponakanku yen sekolah kaya kidang sing pinter lan lincah,0
Ponakanku yen sekolah aktif,Ponakanku yen sekolah pasif menengae,Ponakanku yen sekolah kaya tumpukan kayu,1
Sabare Jembar,Sabare Ciyut,Sabare kaya samodra,0
Sabare Jembar,Sabare Ciyut,Sabare kaya bolongan sedotan,1
Mentale kuwat,Mentale ora kuwat,Mentale kaya baja,0
Mentale kuwat,Mentale ora kuwat,Mentale kaya tempe,1
Esemmu apik,Esemmu kecut,Esemmu koyo rembulan sing madhangi wengi kang peteng ndhedhet,0
Esemmu apik,Esemmu kecut,Esemmu koyo jeruk durung mateng nanging wis dipetik,1
Mbak Siti mbagi wektune teratur,Mbak Siti mbagi wektune ora teratur,Mbak Siti mbagi wektune kaya bebek sing baris,0
