ending1,ending2,startphrase,labels
Abdi sareung anjeuna jauh bedana,Abdi sareung anjeuna eweuh bedana.,Abdi sareung anjeuna kawas monyet jeung kera.,1
Diajar matematika sesah,Diajar matematika gampil.,Diajar matematika umpama diajar maca jang budak SMA,0
Diajar matematika sesah,Diajar matematika gampil.,Diajar matematika umpama diajar maca jang budak TK.,1
Kue damelan umi abdi raos,Kue damelan umi abdi teu raos.,Kue damelan umi abdi saraos kue toko,0
Kue damelan umi abdi raos,Kue damelan umi abdi teu raos.,Kue damelan umi abdi saraos kue basi.,1
Pun bapa kuat,Pun bapa lemah.,Pun bapa tanagana kawas samson,0
Pun bapa kuat,Pun bapa lemah.,Pun bapa tanagana kawas budak sd.,1
Acuk lebaran teh sae,Acuk lebaran teh butut.,Acuk lebaran teh sarupa acuk damelan designer kasohor,0
Acuk lebaran teh sae,Acuk lebaran teh butut.,Acuk lebaran teh sarupa acuk tukang pulung.,1
Teu nyangka rayi abdi jangkung,Teu nyangka rayi abdi pondok.,Teu nyangka rayi abdi sajangkung buto ijo,0
Teu nyangka rayi abdi jangkung,Teu nyangka rayi abdi pondok.,Teu nyangka rayi abdi sajangkung ucok baba.,1
Ngarantau nyenengkeun,Ngarantau sieun.,Ngarantau ibarat jalan-jalan ka nagari nu endah kacipta,0
Ngarantau nyenengkeun,Ngarantau sieun.,Ngarantau ibarat jalan-jalan ka leuweung nu loba jurigna.,1
Bobogohan lima taun jeung manehna nyusahkeun,Bobogohan lima taun jeung manehna nyenengkeun.,Bobogah lima taun jeung manehna kawas naek kapal di laut nu loba badaina,0
Bobogohan lima taun jeung manehna nyusahkeun,Bobogohan lima taun jeung manehna nyenengkeun.,Bobogah lima taun jeung manehna kawas naek kapal di lautan biru nan endah.,1
Jaket maneh butut,Jaket maneh alus.,Jaket maneh naha siga tukang ojek,0
Jaket maneh butut,Jaket maneh alus.,Jaket maneh naha siga jaket artis.,1
Acuk seuseuhan abdi mah beresih,Acuk seuseuhan abdi mah kotor.,Acuk seuseuhan abdi mah sapertos acuk anyar,0
Acuk seuseuhan abdi mah beresih,Acuk seuseuhan abdi mah kotor.,Acuk seuseuhan abdi mah sapertos acuk jalmi beres nguli.,1
Budak rerencangan abdi irungna mancung,Budak rerencangan abdi irungna pesek.,Budak rerencangan abdi irungnya samancung orang arab,0
Budak rerencangan abdi irungna mancung,Budak rerencangan abdi irungna pesek.,Budak rerencangan abdi irungnya samancung jalmi nu beres nyusruk.,1
Pindah bumi nyedihkeun,Pindah bumi nyenengkeun.,Pindah bumi ibarat kaleungitan dompet,0
Pindah bumi nyedihkeun,Pindah bumi nyenengkeun.,Pindah bumi ibarat manggihan dompet.,1
Buku di bumi rerencangan abdi seueur,Buku di bumi rerencangan abdi hiji atawa sakedik.,Buku di bumi rerencangan abdi kawas perpustakaan,0
Buku di bumi rerencangan abdi seueur,Buku di bumi rerencangan abdi hiji atawa sakedik.,Buku di bumi rerencangan abdi kawas jumlah kolot na budak yatim.,1
Naek kareta ekonomi teu enakeun,Naek kareta ekonomi enakeun.,Naek kareta ekonomi sarupa calik dina korsi papan,0
Naek kareta ekonomi teu enakeun,Naek kareta ekonomi enakeun.,Naek kareta ekonomi sarupa calik dina sofa busa.,1
Ukuran suku maneh meuni gede,Ukuran suku maneh meuni leutik.,Ukuran suku maneh meuni jiga raksasa,0
Ukuran suku maneh meuni gede,Ukuran suku maneh meuni leutik.,Ukuran suku maneh meuni jiga cebol.,1
Basa inggris maneh lancar,Basa inggris maneh balelol.,Basa inggris maneh geus saalus bule,0
Basa inggris maneh lancar,Basa inggris maneh balelol.,Basa inggris maneh geus saalus budak nu karak diajar ngomong.,1
Carita nini abdi rame tur alus,Carita nini abdi butut.,Carita nini abdi kawas carita pelem-pelem di bioskop,0
Carita nini abdi rame tur alus,Carita nini abdi butut.,Carita nini abdi kawas carita nu nyieun sare.,1
Minyak goreng ayeuna mahal,Minyak goreng ayeuna mirah.,Minyak goreng ayeuna geus saharga imah,0
Minyak goreng ayeuna mahal,Minyak goreng ayeuna mirah.,Minyak goreng ayeuna geus saharga kacang.,1
Cai sumur ayeuna kiruh,Cai sumur ayeuna herang.,Cai sumur ayeuna mah kos cai kopi,0
Cai sumur ayeuna kiruh,Cai sumur ayeuna herang.,Cai sumur ayeuna mah kos cai aqua.,1
Ngadangu carita anjeun mah ngareuwaskeun,Ngadangu carita anjeun mah nyenengkeun.,Ngadangu carita anjeun mah kawas ngimpi labuh ka gawir,0
Ngadangu carita anjeun mah ngareuwaskeun,Ngadangu carita anjeun mah nyenengkeun.,Ngadangu carita anjeun mah kawas ngimpi naek ferrari.,1
Hirup teu boga elmu teu jelas,Hirup teu boga elmu jelas.,Hirup teu boga elmu sarupa leumpang teu aya tujuan,0
Hirup teu boga elmu teu jelas,Hirup teu boga elmu jelas.,Hirup teu boga elmu sarupa leumpang sapanjang jalan nu loba lampuna.,1
Pertanyaan si bapa bermutu tur sesah,Pertanyaan si bapa teu bermutu.,Pertanyaan si bapa teh meuni kos tts kompas,0
Pertanyaan si bapa bermutu tur sesah,Pertanyaan si bapa teu bermutu.,Pertanyaan si bapa teh meuni kos pertanyaan budak.,1
Lamun keur belajar naha panon teh tunduh,Lamun keur belajar naha panon teh beunta.,Lamun keur belajar naha nya panon teh kawas teu sare 3 poe,0
Lamun keur belajar naha panon teh tunduh,Lamun keur belajar naha panon teh beunta.,Lamun keur belajar naha nya panon teh kawas karak ngadahar mangga ngora.,1
Kunaon atuh eta seragam teh risek,Kunaon atuh eta seragam teh licin.,Kunaon atuh eta seragam teh jiga can meunang nyetrika,0
Kunaon atuh eta seragam teh risek,Kunaon atuh eta seragam teh licin.,Kunaon atuh eta seragam teh jiga baju ti londri.,1
Hirup abdi mah hitam putih tur monoton,Hirup abdi mah loba warnana.,Hirup abdi mah kawas tv baheula,0
Hirup abdi mah hitam putih tur monoton,Hirup abdi mah loba warnana.,Hirup abdi mah kawas tv jaman kiwari.,1
Buruan tatanga luas,Buruan tatanga heurin.,Buruan tatangga teh meuni saluas lapangan bola,0
Buruan tatanga luas,Buruan tatanga heurin.,Buruan tatangga teh meuni saluas wc kareta.,1
Gambar rayi abdi hade,Gambar rayi abdi butut.,Gambar rayi abdi layak umpama gambar nu meunang ponten 100,0
Gambar rayi abdi hade,Gambar rayi abdi butut.,Gambar rayi abdi layak umpama gambar nu meunang ponten F.,1
Chat jeung manehna mah teu jelas,Chat jeung manehna mah jelas.,Chat jeung manehna mah kawas ngobrol pas keur diboceng tukang ojek,0
Chat jeung manehna mah teu jelas,Chat jeung manehna mah jelas.,Chat jeung manehna mah kawas guru nerangkeun di kelas.,1
Tulisan budak teh acak-acakan,Tulisan budak teh rapi.,Tulisan budak teh meuni jiga cakar hayam,0
Tulisan budak teh acak-acakan,Tulisan budak teh rapi.,Tulisan budak teh meuni jiga hasil ngeprint.,1
Elmu agama caang tur nuntun,Elmu agama poek.,Elmu agama kawas senter caang kanggo mapay jalan wengi,0
Elmu agama caang tur nuntun,Elmu agama poek.,Elmu agama kawas gudang nu eweuh lampuan.,1
Lapang Padjajaran alus tur rapi,Lapang Padjajaran butut tur balatak.,Lapang Padjajaran kos lapang bola piala dunia,0
Lapang Padjajaran alus tur rapi,Lapang Padjajaran butut tur balatak.,Lapang Padjajaran kos lapang di kandang kuda.,1
Cai Dieng tiis,Cai Dieng panas.,Cai Dieng sapertos cai es,0
Cai Dieng tiis,Cai Dieng panas.,Cai Dieng sapertos cai termos.,1
Ngendong sawengi ge bawaan teh seueur,Ngendong sawengi ge bawaan teh teu aya.,Ngendong sawengi ge bawaan teh kawas jalmi nu bade pindahan,0
Ngendong sawengi ge bawaan teh seueur,Ngendong sawengi ge bawaan teh teu aya.,Ngendong sawengi ge bawaan teh kawas jalmi teu gaduh acuk.,1
Acuk rerencangan abdi katutup,Acuk rerencangan abdi kabuka.,Acuk rerencangan abdi sapertos bu haji,0
Acuk rerencangan abdi katutup,Acuk rerencangan abdi kabuka.,Acuk rerencangan abdi sapertos awewe nu arek mangkal.,1
Kahayang abdi mah seueur,Kahayang abdi mah saalit.,Kahayang abdi mah sagede truk,0
Kahayang abdi mah seueur,Kahayang abdi mah saalit.,Kahayang abdi mah sagede keresek indomaret.,1
Tutumbenan masakan dinten ieu raos pisan,Tutumbenan masakan dinten ieu teu raos.,Tutumbenan masakan dinten ieu kawas masakan hotel bintang lima,0
Tutumbenan masakan dinten ieu raos pisan,Tutumbenan masakan dinten ieu teu raos.,Tutumbenan masakan dinten ieu kawas masakan sesa minggu kamari.,1
Kaca di kamar abdi meuni alit,Kaca di kamar abdi meuni ageung.,Kaca di kamar abdi meuni sagede kaca spion,0
Kaca di kamar abdi meuni alit,Kaca di kamar abdi meuni ageung.,Kaca di kamar abdi meuni sagede almari tilu panto.,1
Akuarium hotel ieu ageung,Akuarium hotel ieu alit.,Akuarium hotel ieu meuni saageung sea world,0
Akuarium hotel ieu ageung,Akuarium hotel ieu alit.,Akuarium hotel ieu meuni saageung keler kue.,1
Kembang pamasihan anjeun seungit,Kembang pamasihan anjeun hapeuk.,Kembang pamasihan anjeun teh kawas seungit sedap malam,0
Kembang pamasihan anjeun seungit,Kembang pamasihan anjeun hapeuk.,Kembang pamasihan anjeun teh kawas seungit sangit.,1
Mun jadi jalmi ulah sok agul,Mun jadi jalmi ulah sok pesimis.,Mun jadi jalmi ulah sok luhur hate,0
Mun jadi jalmi ulah sok agul,Mun jadi jalmi ulah sok pesimis.,Mun jadi jalmi ulah sok pondok hate.,1
Tawaran anjeun nyenengkeun,Tawaran anjeun nyengsarakeun.,Tawaran anjeun kawas hujan duit,0
Tawaran anjeun nyenengkeun,Tawaran anjeun nyengsarakeun.,Tawaran anjeun kawas hujan batu es.,1
Diajar ekonomi nyengsarakeun,Diajar ekonomi nyenengkeun.,Diajar ekonomi sapertos renang di kulah cai es,0
Diajar ekonomi nyengsarakeun,Diajar ekonomi nyenengkeun.,Diajar ekonomi sapertos renang di kulah kembang.,1
Acara Jazz Prambanan taun ieu meriah,Acara Jazz Prambanan taun ieu sepi.,Acara Jazz Prambanan taun ieu kawas langit bertabur bentang,0
Acara Jazz Prambanan taun ieu meriah,Acara Jazz Prambanan taun ieu sepi.,Acara Jazz Prambanan taun ieu kawas langit wengi teu aya bentang.,1
Tisu merek eta mah alus,Tisu merek eta mah kasar.,Tisu merek eta mah saalus selimut orok,0
Tisu merek eta mah alus,Tisu merek eta mah kasar.,Tisu merek eta mah saalus karung beas.,1
"Tong make lipen setip eta, jieun biwir garing","Tong make lipen setip eta, jieun biwir lembab.","Tong make lipen setip eta, jieun biwir kos sawah retak",0
"Tong make lipen setip eta, jieun biwir garing","Tong make lipen setip eta, jieun biwir lembab.","Tong make lipen setip eta, jieun biwir kos embun daun.",1
Omongan presiden teh gonta-ganti,Omongan presiden teh ajeg.,Omongan presiden teh umpama cai di daun taleus,0
Omongan presiden teh gonta-ganti,Omongan presiden teh ajeg.,Omongan presiden teh umpama bangunan kabah.,1
Kualitas koper anyar teh butut,Kualitas koper anyar teh alus.,Kualitas koper anyar teh kos urut batur,0
Kualitas koper anyar teh butut,Kualitas koper anyar teh alus.,Kualitas koper anyar teh kos koper dior.,1
Ngadangukeun lagu Yura Yunita nenangkeun,Ngadangukeun lagu Yura Yunita gandeng tur ngaganggu.,Ngadangukeun lagu Yura Yunita sapertos dipepende,0
Ngadangukeun lagu Yura Yunita nenangkeun,Ngadangukeun lagu Yura Yunita gandeng tur ngaganggu.,Ngadangukeun lagu Yura Yunita sapertos hujan guludug.,1
Sampo si mama jieun buuk alus,Sampo si mama jieun buuk kasar.,Sampo si mama jieun buuk sapertos ti salon,0
Sampo si mama jieun buuk alus,Sampo si mama jieun buuk kasar.,Sampo si mama jieun buuk sapertos kasetrum listrik.,1
Kantor abdi di Bandung tiis tur asri,Kantor abdi di Bandung panas tur tandus.,Kantor abdi di Bandung umpama gedong di tengah kebon,0
Kantor abdi di Bandung tiis tur asri,Kantor abdi di Bandung panas tur tandus.,Kantor abdi di Bandung umpama gedong di tengah savana.,1
Tumpeng damelan si uwak jangkung,Tumpeng damelan si uwak pondok.,Tumpeng damelan si uwak meuni sajangkung gunung merapi,0
Tumpeng damelan si uwak jangkung,Tumpeng damelan si uwak pondok.,Tumpeng damelan si uwak meuni sajangkung meja lipet lesehan.,1
Buku sakola ayeuna ipis,Buku sakola ayeuna kandeul.,Buku sakola ayeuna sakandeul koran,0
Buku sakola ayeuna ipis,Buku sakola ayeuna kandeul.,Buku sakola ayeuna sakandeul ensiklopedia dunia.,1
Cuaca dinten ieu hujan,Cuaca dinten ieu cerah.,Cuaca dinten ieu sapertos langit nu nuju sedih,0
Cuaca dinten ieu hujan,Cuaca dinten ieu cerah.,Cuaca dinten ieu sapertos langit nu keur bagja.,1
Biaya listrik makin kiwari makin naek,Biaya listrik makin kiwari makin turun.,Biaya listrik makin kiwari makin kos taraje,0
Biaya listrik makin kiwari makin naek,Biaya listrik makin kiwari makin turun.,Biaya listrik makin kiwari makin kos porosotan.,1
Karpet anyar teh warnana cerah,Karpet anyar teh warnana poek.,Karpet anyar teh warnana jiga gulali,0
Karpet anyar teh warnana cerah,Karpet anyar teh warnana poek.,Karpet anyar teh warnana jiga areng.,1
Gawe tanpa elmu sesah,Gawe tanpa elmu gampil.,Gawe tanpa elmu umpama mancing eweuh umpan,0
Gawe tanpa elmu sesah,Gawe tanpa elmu gampil.,Gawe tanpa elmu umpama ngala lauk di akuarium make jaring.,1
Poto kawinan anjeun estetik,Poto kawinan anjeun teu estetik.,Poto kawinan anjeun sapertos poster pelem nu meunang penghargaan,0
Poto kawinan anjeun estetik,Poto kawinan anjeun teu estetik.,Poto kawinan anjeun sapertos poto di kalender toko emas.,1
Harga anduk di toko ieu mirah,Harga anduk di toko ieu awis.,Harga anduk di toko ieu samirah kembang gula di warung,0
Harga anduk di toko ieu mirah,Harga anduk di toko ieu awis.,Harga anduk di toko ieu samirah dp bumi di komplek elit.,1
Desain Toyota nu anyar keren tur canggih,Desain Toyota nu anyar butut.,Desain Totoya nu anyar kawas mobil ti masa hareup,0
Desain Toyota nu anyar keren tur canggih,Desain Toyota nu anyar butut.,Desain Totoya nu anyar kawas mobil cocooan.,1
Naek gunung Sumbing sesah,Naek gunung Sumbing gampil.,Naek gunung Sumbing umpama naek gunung nganggo sapatu roda,0
Naek gunung Sumbing sesah,Naek gunung Sumbing gampil.,Naek gunung Sumbing umpama naek gunung digandong porter.,1
Kulah lauk di bumi aki leutik,Kulah lauk di bumi aki lega.,Kulah lauk di bumi aki salega bagasi motor,0
Kulah lauk di bumi aki leutik,Kulah lauk di bumi aki lega.,Kulah lauk di bumi aki salega garasi kapal udara.,1
Rorompok amih lamun nuju seueur dulur rame tur gandeng,Rorompok amih lamun nuju seueur dulur tiiseun tur jempling.,Rorompok amih lamun nuju seueur dulur kawas bumi gigir rel kareta,0
Rorompok amih lamun nuju seueur dulur rame tur gandeng,Rorompok amih lamun nuju seueur dulur tiiseun tur jempling.,Rorompok amih lamun nuju seueur dulur kawas bumi di tengah leuweung.,1
Kelas X IPS mah aya teu aya guru gandeng,Kelas X IPS mah aya teu aya guru jempling.,Kelas X IPS mah aya teu aya guru umpama budak can dibere nyusu,0
Kelas X IPS mah aya teu aya guru gandeng,Kelas X IPS mah aya teu aya guru jempling.,Kelas X IPS mah aya teu aya guru umpama barudak di perpustakaan.,1
Sapatu pamere mamang teh teu mahi,Sapatu pamere mamang teh mahi.,Sapatu pamere mamang teh kawas sapatu meunang nginjeum,0
Sapatu pamere mamang teh teu mahi,Sapatu pamere mamang teh mahi.,Sapatu pamere mamang teh kawas sapatu kaca dipake cinderella.,1
Lomari di kamar pun kolot ageung,Lomari di kamar pun kolot alit.,Lomari di kamar pun kolot saageung ka'bah,0
Lomari di kamar pun kolot ageung,Lomari di kamar pun kolot alit.,Lomari di kamar pun kolot saageung bagasi mobil sedan.,1
Lukisan ieu alus,Lukisan ieu butut.,Lukisan ieu sapertos karya da Vinci,0
Lukisan ieu alus,Lukisan ieu butut.,Lukisan ieu sapertos karya budak nu keur diajar ngagambar.,1
Botol cai teh gede pisan,Botol cai teh leutik pisan.,Botol cai teh kos toren cai,0
Botol cai teh gede pisan,Botol cai teh leutik pisan.,Botol cai teh kos gelas budak.,1
Jolang di bumi rerencangan abdi ageung,Jolang di bumi rerencangan abdi alit.,Jolang di bumi rerencangan abdi kawas kulah lauk,0
Jolang di bumi rerencangan abdi ageung,Jolang di bumi rerencangan abdi alit.,Jolang di bumi rerencangan abdi kawas gayung.,1
Sangu di warung ieu pulen,Sangu di warung ieu heuras.,Sangu di warung ieu mah sapertos sangu beres akeul,0
Sangu di warung ieu pulen,Sangu di warung ieu heuras.,Sangu di warung ieu mah sapertos gigih.,1
Cat imah maneh mah jieun imah poek,Cat imah maneh mah jieun imah caang.,Cat di imah maneh mah jiun imah kawas imah eweuh lampuan,0
Cat imah maneh mah jieun imah poek,Cat imah maneh mah jieun imah caang.,Cat di imah maneh mah jiun imah kawas panggung dangdut akademi.,1
Martabak Mang Idoy payu,Martabak Mang Idoy teu payu.,Martabak Mang Idoy umpama lauk digembrong laleur,0
Martabak Mang Idoy payu,Martabak Mang Idoy teu payu.,Martabak Mang Idoy umpama emas nu hargana naek.,1
Jarawat Teh Susi naha makin loba tur parah,Jarawat Teh Susi naha makin bersih.,Jarawat Teh Susi naha makin jiga jelema keuna cacar,0
Jarawat Teh Susi naha makin loba tur parah,Jarawat Teh Susi naha makin bersih.,Jarawat Teh Susi naha makin jiga hasil perawatan dokter.,1
Laut di Sukabumi beresih,Laut di Sukabumi bala.,Laut di Sukabumi kawas kelas meunang piket,0
Laut di Sukabumi beresih,Laut di Sukabumi bala.,Laut di Sukabumi kawas lapang urut konser.,1
Twitter jaman kiwari makin rame,Twitter jaman kiwari makin tiiseun.,Twitter jaman kiwari makin sapertos warung klontong,0
Twitter jaman kiwari makin rame,Twitter jaman kiwari makin tiiseun.,Twitter jaman kiwari makin sapertos warung bakso jam 12 beurang basa keur bulan puasa.,1
Pangseungit ruangan ieu bau,Pangseungit ruangan ieu seungit.,Pangseungit ruangan ieu jieun sapertos hayang utah,0
Pangseungit ruangan ieu bau,Pangseungit ruangan ieu seungit.,Pangseungit ruangan ieu jieun sapertos di taman kembang.,1
Hargi sewa mobil di dieu awis,Hargi sewa mobil di dieu mirah.,Hargi sewa mobil di dieu saharga biaya umroh,0
Hargi sewa mobil di dieu awis,Hargi sewa mobil di dieu mirah.,Hargi sewa mobil di dieu saharga biaya naek beca.,1
Huntu Si Joko koneng,Huntu Si Joko bodas.,Huntu Si Joko jiga seragam golkar,0
Huntu Si Joko koneng,Huntu Si Joko bodas.,Huntu Si Joko jiga mukena lebaran.,1
Manehna ngahasilkeun artos meuni gampil,Manehna ngahasilkeun artos hese pisan.,Manehna ngahasilkeun artos jiga ngarenghap napas,0
Manehna ngahasilkeun artos meuni gampil,Manehna ngahasilkeun artos hese pisan.,Manehna ngahasilkeun artos jiga milarian cai di gurun.,1
Eta murid hiji bodo,Eta murid hiji pinter.,Eta murid hiji otak udang,0
Eta murid hiji bodo,Eta murid hiji pinter.,Eta murid hiji kawas kancil.,1
Biwirna ngucapkeun kecap nu mikeun nyeri hate,Biwirna ngucapkeun kecap mikeun bungah.,Biwirna ngucapkeun kecap kawas cabe,0
Biwirna ngucapkeun kecap nu mikeun nyeri hate,Biwirna ngucapkeun kecap mikeun bungah.,Biwirna ngucapkeun kecap amis siga gula.,1
Manehna angkat liburan nganggo motor,Manehna angkat liburan nganggo pesawat.,Manehna angkat liburan nganggo kuda beusi,0
Manehna angkat liburan nganggo motor,Manehna angkat liburan nganggo pesawat.,Manehna angkat liburan nganggo manuk beusi.,1
Sorana kadéngé merdu,Sorana kadéngé ngaganggu.,Sorana kadéngé kawas kicau manu,0
Sorana kadéngé merdu,Sorana kadéngé ngaganggu.,Sorana kadéngé kawas gogog anjing.,1
Di tempat damel manenha janten unggulan,Di tempat damel manenha janten jalma nu dipikasalah.,Di tempat damel manenha janten budak emas,0
Di tempat damel manenha janten unggulan,Di tempat damel manenha janten jalma nu dipikasalah.,Di tempat damel manenha janten embe hideung.,1
"Ceuk babaturanana, manehna mangrupikeun jalma keras kepala","Ceuk babaturanana, manehna mangrupikeun jalma anu ngartikeun.","Ceuk babaturanana, manehna mangrupikeun jalma sirah batu",0
"Ceuk babaturanana, manehna mangrupikeun jalma keras kepala","Ceuk babaturanana, manehna mangrupikeun jalma anu ngartikeun.","Ceuk babaturanana, manehna mangrupikeun jalma tiis sirah.",1
Manehna jalmi nu bisa naon wae,Manehna jalmi nu teu bisa nanaon.,Manehna jalmi nu tiis leungeun,0
Manehna jalmi nu bisa naon wae,Manehna jalmi nu teu bisa nanaon.,Manehna jalmi nu panas leungeun.,1
Manehna tampil siga percaya diri,Manehna tampil siga henteu percaya diri.,Manehna tampil siga bintang dina langit,0
Manehna tampil siga percaya diri,Manehna tampil siga henteu percaya diri.,Manehna tampil siga semut dina taneuh.,1
Dina éta balapan manehna jiga idola,Dina éta balapan manehna jiga jalmi nu teu diperhitungkeun.,Dina éta balapan manehna jiga béntang lapangan,0
Dina éta balapan manehna jiga idola,Dina éta balapan manehna jiga jalmi nu teu diperhitungkeun.,Dina éta balapan manehna jiga kuda hideung.,1
Manehna mangrupakeun jalma anu hatena siga luas,Manehna mangrupakeun jalma anu hatena siga sempit.,Manehna mangrupakeun jalma anu hatena siga lapangan,0
Manehna mangrupakeun jalma anu hatena siga luas,Manehna mangrupakeun jalma anu hatena siga sempit.,Manehna mangrupakeun jalma anu hatena siga kamar.,1
Pagawean anu dilakonan ku manehna nganggo dikerjakeun nu lain,Pagawean anu dilakonan ku manehna nganggo usaha sorangan.,Pagawean anu dilakonan ku manehna nganggo kaki jeung lengeun batur,0
Pagawean anu dilakonan ku manehna nganggo dikerjakeun nu lain,Pagawean anu dilakonan ku manehna nganggo usaha sorangan.,Pagawean anu dilakonan ku manehna nganggo lengeun sorangan.,1
Eta lalaki kawas sae pisan,Eta lalaki kawas jahat pisan.,Eta lalaki kawas ksatria,0
Eta lalaki kawas sae pisan,Eta lalaki kawas jahat pisan.,Eta lalaki kawas penyihir.,1
Manehna mangrupakeun pamingpin anu ngartikeun,Manehna mangrupakeun pamingpin anu teu ngartikeun.,Manehna mangrupakeun pamingpin anu haneut hate,0
Manehna mangrupakeun pamingpin anu ngartikeun,Manehna mangrupakeun pamingpin anu teu ngartikeun.,Manehna mangrupakeun pamingpin anu tiis hate.,1
Budak eta mah baik,Budak eta mah sombong.,Budak eta mah lurus haté,0
Budak eta mah baik,Budak eta mah sombong.,Budak eta mah gedé sungut.,1
Usahana nalika pandemi teh kawas lancar pisan,Usahana nalika pandemi teh kawas hese pisan.,Ushana nalika pandemi teh kawas jalan tol,0
Usahana nalika pandemi teh kawas lancar pisan,Usahana nalika pandemi teh kawas hese pisan.,Ushana nalika pandemi teh kawas jalanna kura-kura.,1
Eta jelema teh kawas berilmu,Eta jelema teh kawas teu ngarti nanaon.,Eta jelema teh kawas buku tebel,0
Eta jelema teh kawas berilmu,Eta jelema teh kawas teu ngarti nanaon.,Eta jelema teh kawas kertas kosong.,1
Manehna ngarasa kawas boga kuasa,Manehna ngarasa kawas teu boga kuasa.,Manehna ngarasa kawas raja leutik,0
Manehna ngarasa kawas boga kuasa,Manehna ngarasa kawas teu boga kuasa.,Manehna ngarasa kawas sampah masarakat.,1
"Lamun diperlukeun, manehna senang pikeun ngabantu","Lamun diperlukeun, manehna senang pikeun cicing wae.","Lamun diperlukeun, manehna senang pikeun turun lengeun",0
"Lamun diperlukeun, manehna senang pikeun ngabantu","Lamun diperlukeun, manehna senang pikeun cicing wae.","Lamun diperlukeun, manehna senang pikeun pangku lengeun.",1
Artis eta téh keur kawentar,Artis eta téh keur boga masalah.,Artis eta téh keur naék,0
Artis eta téh keur kawentar,Artis eta téh keur boga masalah.,Artis eta téh keur jatoh ka jurang.,1
Kecap-kecapna kawas indah,Kecap-kecapna kawas mikeun nyeri hate.,Kecap-kecapna kawas kembang,0
Kecap-kecapna kawas indah,Kecap-kecapna kawas mikeun nyeri hate.,Kecap-kecapna kawas pinuh ku cucuk.,1
"Ceuk tatanggana, manehna teh baik","Ceuk tatanggana, manehna teh pelit.","Ceuk tatanggana, manehna teh beungeut kandel",0
"Ceuk tatanggana, manehna teh baik","Ceuk tatanggana, manehna teh pelit.","Ceuk tatanggana, manehna teh hate leutik.",1
Babaturan kuring nyaéta jalma anu senang mere,Babaturan kuring nyaéta jalma anu nyuri.,Babaturan kuring nyaéta jalma anu ringan leungeun,0
Babaturan kuring nyaéta jalma anu senang mere,Babaturan kuring nyaéta jalma anu nyuri.,Babaturan kuring nyaéta jalma anu panjang leungeun.,1
Beungeutna katingali kawas bahagia,Beungeutna katingali kawas loba masalah.,Beungeutna katingali kawas caang panonpoé,0
Beungeutna katingali kawas bahagia,Beungeutna katingali kawas loba masalah.,Beungeutna katingali kawas wengi poék.,1
Manehna mangrupikeun senang maca buku,Manehna mangrupikeun loba omong.,Manehna mangrupikeun kutu buku,0
Manehna mangrupikeun senang maca buku,Manehna mangrupikeun loba omong.,Manehna mangrupikeun tong kosong.,1
Tanaga manehnya kawas kuat pisan,Tanaga manehnya kawas lemah.,Tanaga manehnya kawas beruang,0
Tanaga manehnya kawas kuat pisan,Tanaga manehnya kawas lemah.,Tanaga manehnya kawas semut.,1
Hate manusia kadang luas,Hate manusia kadang tinggi pisan.,Hate manusia kadang kawas lapangan,0
Hate manusia kadang luas,Hate manusia kadang tinggi pisan.,Hate manusia kadang kawas langit.,1
Eta budak hiji mah mangrupakeun unggulan,Eta budak hiji mah mangrupakeun masalah.,Eta budak hiji mah mangrupakeun tulang tonggong,0
Eta budak hiji mah mangrupakeun unggulan,Eta budak hiji mah mangrupakeun masalah.,Eta budak hiji mah mangrupakeun beungbeurat kulawarga.,1
Penampilanna kawas idola,Penampilanna kawas teu dianggep.,Penampilanna dianggap bintang lapangan,0
Penampilanna kawas idola,Penampilanna kawas teu dianggep.,Penampilanna dianggap sabelah panon.,1
Kulawargana nyaéta bangsawan,Kulawargana nyaéta jalmi biasa.,Kulawargana nyaéta darah biru,0
Kulawargana nyaéta bangsawan,Kulawargana nyaéta jalmi biasa.,Kulawargana nyaéta darah rakyat.,1
Panonna teh tajeum,Panonna teh jelek.,Panonna kawas elang,0
Panonna teh tajeum,Panonna teh jelek.,Panonna kawas beurit.,1
Sorana siga gede pisan,Sorana siga alit.,Sorana siga ngaum singa,0
Sorana siga gede pisan,Sorana siga alit.,Sorana siga kicau manuk.,1
Anjeunna junun nampi padamelan ti usaha sorangan,Anjeunna junun nampi padamelan ti jalma lian.,Anjeunna junun nampi padamelan ti banting tulang,0
Anjeunna junun nampi padamelan ti usaha sorangan,Anjeunna junun nampi padamelan ti jalma lian.,Anjeunna junun nampi padamelan ti orang dalem.,1
Mulutna meuni gampil ngomong,Mulutna meuni hese ngomong.,Mulutna meuni enteng,0
Mulutna meuni gampil ngomong,Mulutna meuni hese ngomong.,Mulutna meuni beurat.,1
"Di kelas, manehna murid anu pinter","Di kelas, manehna murid anu bodo.","Di kelas, manehna murid anu ringan sirah",0
"Di kelas, manehna murid anu pinter","Di kelas, manehna murid anu bodo.","Di kelas, manehna murid anu beurat sirah.",1
Kota ieu karasa kawas nyaman,Kota ieu karasa kawas teu genah.,Kota ieu karasa kawas imah,0
Kota ieu karasa kawas nyaman,Kota ieu karasa kawas teu genah.,Kota ieu karasa kawas penjara.,1
Nalika ditanya manehna nyarios,Nalika ditanya manehna pura-pura teu terang.,Nalika ditanya manehna buka mulut,0
